id,nombre,departamento
1,LETICIA,AMAZONAS
2,PUERTO NARIÑO,AMAZONAS
3,ABEJORRAL,ANTIOQUIA
4,ALEJANDRÍA,ANTIOQUIA
5,AMAGÁ,ANTIOQUIA
6,ANDES,ANTIOQUIA
7,ANGELÓPOLIS,ANTIOQUIA
8,ANGOSTURA,ANTIOQUIA
9,ANORÍ,ANTIOQUIA
10,APARTADÓ,ANTIOQUIA
11,ARBOLETES,ANTIOQUIA
12,ARGELIA,ANTIOQUIA
13,BARBOSA,ANTIOQUIA
14,BELLO,ANTIOQUIA
15,BETANIA,ANTIOQUIA
16,BETULIA,ANTIOQUIA
17,BRICEÑO,ANTIOQUIA
18,BURITICÁ,ANTIOQUIA
19,CAICEDO,ANTIOQUIA
20,CALDAS,ANTIOQUIA
21,CAMPAMENTO,ANTIOQUIA
22,CAÑASGORDAS,ANTIOQUIA
23,CARACOLÍ,ANTIOQUIA
24,CARAMANTA,ANTIOQUIA
25,CAREPA,ANTIOQUIA
26,CAUCASIA,ANTIOQUIA
27,CHIGORODÓ,ANTIOQUIA
28,CISNEROS,ANTIOQUIA
29,CIUDAD BOLÍVAR,ANTIOQUIA
30,COCORNÁ,ANTIOQUIA
31,CONCEPCIÓN,ANTIOQUIA
32,COPACABANA,ANTIOQUIA
33,DABEIBA,ANTIOQUIA
34,DON MATÍAS,ANTIOQUIA
35,EBÉJICO,ANTIOQUIA
36,EL BAGRE,ANTIOQUIA
37,EL CARMEN DE VIBORAL,ANTIOQUIA
38,EL SANTUARIO,ANTIOQUIA
39,ENTRERRIOS,ANTIOQUIA
40,ENVIGADO,ANTIOQUIA
41,FREDONIA,ANTIOQUIA
42,GIRARDOTA,ANTIOQUIA
43,GÓMEZ PLATA,ANTIOQUIA
44,GRANADA,ANTIOQUIA
45,GUARNE,ANTIOQUIA
46,GUATAPÉ,ANTIOQUIA
47,HELICONIA,ANTIOQUIA
48,ITAGUI,ANTIOQUIA
49,ITUANGO,ANTIOQUIA
50,JARDÍN,ANTIOQUIA
51,LA CEJA,ANTIOQUIA
52,LA ESTRELLA,ANTIOQUIA
53,LA PINTADA,ANTIOQUIA
54,LIBORINA,ANTIOQUIA
55,MACEO,ANTIOQUIA
56,MARINILLA,ANTIOQUIA
57,MEDELLÍN,ANTIOQUIA
58,MEDELLÍN - ÁREA - 3,ANTIOQUIA
59,MEDELLÍN ÁREA-1,ANTIOQUIA
60,MEDELLÍN ÁREA-4,ANTIOQUIA
61,MONTEBELLO,ANTIOQUIA
62,NECOCLÍ,ANTIOQUIA
63,PUERTO BERRÍO,ANTIOQUIA
64,PUERTO NARE,ANTIOQUIA
65,REMEDIOS,ANTIOQUIA
66,RETIRO,ANTIOQUIA
67,RIONEGRO,ANTIOQUIA
68,SABANALARGA,ANTIOQUIA
69,SABANETA,ANTIOQUIA
70,SALGAR,ANTIOQUIA
71,SAN CARLOS,ANTIOQUIA
72,SAN FRANCISCO,ANTIOQUIA
73,SAN JERÓNIMO,ANTIOQUIA
74,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA
75,SAN JUAN DE URABÁ,ANTIOQUIA
76,SAN LUIS,ANTIOQUIA
77,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA
78,SAN RAFAEL,ANTIOQUIA
79,SAN ROQUE,ANTIOQUIA
80,SAN VICENTE,ANTIOQUIA
81,SANTA BÁRBARA,ANTIOQUIA
82,SANTA ROSA DE OSOS,ANTIOQUIA
