id,operation,channels_id,geolocation_id
1,Local sin ánimo de lucro,33,5001
2,Nacional privado futuro,19,5001
3,Nacional privado,14,5001
4,Nacional privado,15,5001
5,Nacional público,16,5001
6,Regional público,18,5001
7,Local con ánimo de lucro,28,5001
8,Nacional privado futuro,19,5002
9,Nacional privado,14,5002
10,Nacional privado,15,5002
11,Nacional público,16,5002
12,Regional público,18,5002
13,Nacional privado futuro,19,5004
14,Nacional público,16,5004
15,Regional público,18,5004
16,Nacional privado,14,5004
17,Nacional privado,15,5004
18,Nacional privado futuro,19,5021
19,Nacional público,16,5021
20,Regional público,18,5021
21,Nacional privado,21,5021
22,Nacional privado,42,5021
23,Nacional privado futuro,19,5030
24,Nacional privado,14,5030
25,Nacional privado,15,5030
26,Nacional público,16,5030
27,Regional público,18,5030
28,Nacional privado futuro,19,5031
29,Nacional privado,43,5031
30,Nacional privado,44,5031
31,Nacional público,16,5031
32,Regional público,18,5031
33,Nacional privado futuro,19,5034
34,Nacional privado,14,5034
35,Nacional privado,15,5034
36,Nacional público,16,5034
37,Regional público,18,5034
38,Nacional privado futuro,19,5036
39,Nacional privado,14,5036
40,Nacional privado,15,5036
41,Nacional público,16,5036
42,Regional público,18,5036
43,Nacional privado futuro,19,5038
44,Nacional privado,43,5038
45,Nacional privado,44,5038
46,Nacional público,16,5038
47,Regional público,18,5038
48,Local sin ánimo de lucro,21,5038
49,Nacional privado futuro,46,5040
50,Nacional privado,43,5040
51,Nacional privado,44,5040
52,Nacional público,16,5040
53,Regional público,18,5040
54,Nacional privado futuro,19,5042
55,Nacional privado,14,5042
56,Nacional privado,15,5042
57,Nacional público,16,5042
58,Regional público,18,5042
59,Nacional privado futuro,19,5044
60,Nacional privado,14,5044
61,Nacional privado,15,5044
62,Nacional público,16,5044
63,Regional público,18,5044
64,Nacional privado futuro,38,5045
65,Nacional público,28,5045
66,Regional público,27,5045
67,Nacional privado,21,5045
68,Nacional privado,24,5045
69,Local con ánimo de lucro,32,5045
70,Nacional privado,33,5051
71,Nacional privado,32,5051
72,Nacional privado futuro,19,5051
73,Nacional público,16,5051
74,Regional público,18,5051
75,Regional público,18,5055
76,Nacional privado,14,5055
77,Nacional privado,15,5055
78,Nacional público,35,5055
79,Nacional privado futuro,19,5055
80,Nacional privado futuro,19,5059
81,Nacional privado,14,5059
82,Nacional privado,15,5059
83,Nacional público,16,5059
84,Regional público,18,5059
85,Local sin ánimo de lucro,33,5079
86,Nacional privado futuro,19,5079
87,Nacional privado,14,5079
88,Nacional privado,15,5079
89,Nacional público,16,5079
90,Regional público,18,5079
91,Local con ánimo de lucro,28,5079
92,Nacional privado futuro,19,5086
93,Nacional público,16,5086
94,Regional público,18,5086
95,Nacional privado,14,5086
96,Nacional privado,15,5086
97,Local sin ánimo de lucro,33,5088
98,Nacional privado futuro,19,5088
99,Nacional privado,14,5088
100,Nacional privado,15,5088
101,Nacional público,16,5088
102,Regional público,18,5088
103,Local con ánimo de lucro,28,5088
104,Nacional privado futuro,19,5091
105,Nacional público,16,5091
106,Regional público,18,5091
107,Nacional privado,14,5091
108,Nacional privado,15,5091
109,Nacional privado futuro,19,5093
110,Nacional privado,14,5093
111,Nacional privado,15,5093
112,Nacional público,16,5093
113,Regional público,18,5093
114,Nacional privado futuro,19,5101
115,Nacional privado,14,5101
116,Nacional privado,15,5101
117,Nacional público,16,5101
118,Regional público,18,5101
119,Nacional privado futuro,46,5107
120,Nacional privado,43,5107
121,Nacional privado,44,5107
122,Nacional público,16,5107
123,Regional público,18,5107
124,Nacional privado futuro,19,5113
125,Nacional privado,14,5113
126,Nacional privado,15,5113
127,Nacional público,16,5113
128,Regional público,18,5113
129,Nacional privado futuro,46,5120
130,Nacional privado,43,5120
131,Nacional privado,44,5120
132,Nacional público,16,5120
133,Regional público,18,5120
134,Nacional privado futuro,19,5125
135,Nacional privado,14,5125
136,Nacional privado,15,5125
137,Nacional público,16,5125
138,Regional público,18,5125
139,Local sin ánimo de lucro,33,5129
140,Nacional privado,14,5129
141,Nacional privado,15,5129
142,Nacional público,16,5129
143,Regional público,18,5129
144,Nacional privado futuro,19,5129
145,Local con ánimo de lucro,28,5129
