Frequency(Hz);Return Loss(dB);Phase(deg);Rs;SWR;Xs;|Z|;Theta;;;;;;;
1000000;-500;45;-24;31;28;9;38;50;-228;7;230;5;-82;8
3972248;-500;1;-42;93;0;2;388;56;-127;2;127;2;-89;9
6944496;-500;3;-62;45;0;3;630;99;-82;5;82;5;-89;8
9916744;-500;24;-82;53;1;6;72;93;-57;0;57;0;-88;4
12888992;-500;63;-98;41;3;2;27;38;-43;1;43;2;-85;8
15861240;-500;35;-116;50;1;4;49;41;-30;9;31;0;-87;4
18833488;-500;35;-134;66;1;2;49;5;-20;9;20;9;-86;7
21805736;-500;43;-152;49;1;3;40;23;-12;2;12;3;-83;9
24777984;-500;58;-170;4;1;7;30;20;-4;4;4;7;-69;0
27750232;-500;80;172;83;2;3;21;73;3;1;3;9;53;5
30722480;-500;10;155;79;3;3;15;88;10;7;11;2;72;9
33694728;-500;35;139;19;4;4;12;88;18;5;19;0;76;6
36666976;-500;39;123;38;5;1;12;53;26;7;27;2;79;1
39639224;-500;10;105;11;5;0;15;89;38;1;38;4;82;5
42611472;-500;97;85;8;6;1;17;90;54;1;54;5;83;6
45583720;-500;95;65;19;9;4;18;25;77;4;78;0;83;1
48555968;-500;95;45;23;18;1;18;38;117;7;119;0;81;3
51528216;-500;4;24;76;60;6;16;70;211;2;219;8;74;0
54500464;-500;32;4;22;534;9;13;22;258;6;594;1;25;8
57472712;-500;38;-15;46;163;5;12;60;-272;8;318;1;-59;1
60444960;-500;30;-37;0;35;4;13;35;-141;5;145;9;-75;9
63417208;-500;81;-64;31;17;9;9;62;-76;6;78;6;-76;9
66389456;-500;46;-60;11;47;5;3;29;-61;4;77;7;-52;3
69361704;-500;97;-86;35;5;9;18;0;-52;9;53;3;-83;6
72333952;-500;32;-115;58;5;3;13;15;-31;2;31;7;-80;4
75306200;-500;45;-140;42;7;9;7;15;-17;6;19;3;-65;9
78278448;-500;28;-164;29;12;3;4;14;-6;5;13;9;-27;8
81250696;-500;93;-177;39;21;4;2;34;0;9;21;4;-2;5
84222944;-500;10;-158;41;24;7;2;8;-7;3;25;7;-16;4
87195192;-500;55;-169;21;10;2;4;96;-4;5;11;1;-24;0
90167440;-500;78;149;98;5;5;9;79;13;3;14;3;67;6
93139688;-500;33;112;24;9;6;7;49;32;7;34;1;73;6
96111936;-500;89;76;49;26;6;4;54;56;0;62;0;64;6
99084184;-500;43;40;64;76;7;2;82;61;7;98;4;38;8
102056432;-500;53;5;58;99;4;2;0;7;3;99;7;4;2
105028680;-500;12;-32;18;73;1;1;66;-20;5;75;9;-15;7
108000928;-500;70;-88;19;47;9;1;39;-16;1;50;5;-18;6
110973176;-500;57;-148;49;41;5;1;23;-4;6;41;8;-6;3
113945424;-500;18;157;93;40;6;1;25;3;4;40;8;4;8
116917672;-500;26;109;70;44;1;1;32;11;6;45;7;14;7
119889920;-500;76;67;68;53;7;1;34;14;7;55;7;15;3
122862168;-500;54;40;28;59;1;1;27;9;2;59;9;8;8
125834416;-500;80;33;58;61;3;1;30;8;9;62;0;8;2
128806664;-500;43;14;74;69;2;1;41;6;1;69;5;5;1
131778912;-500;99;-10;85;71;0;1;43;-4;9;71;2;-4;0
134751160;-500;93;-20;56;69;5;1;44;-9;0;70;1;-7;4
137723408;-500;23;-33;84;69;5;1;56;-17;7;71;7;-14;3
140695656;-500;2;-49;33;63;7;1;67;-25;8;68;7;-22;1
143667904;-500;78;-64;58;54;8;1;81;-31;3;63;1;-29;7
146640152;-500;72;-85;4;42;5;1;97;-31;0;52;6;-36;1
149612400;-500;12;-104;74;33;7;2;8;-26;0;42;6;-37;7
152584648;-500;63;-125;32;27;6;2;18;-19;3;33;6;-35;0
155556896;-500;73;-147;99;24;7;2;15;-11;1;27;0;-24;1
158529144;-500;27;-165;78;24;7;2;5;-4;7;25;1;-10;9
161501392;-500;64;175;57;25;2;1;98;1;4;25;3;3;3
164473640;-500;42;157;4;27;6;1;86;7;1;28;5;14;5
167445888;-500;46;137;95;31;6;1;73;12;2;33;9;21;1
170418136;-500;34;117;11;38;4;1;55;15;4;41;4;21;9
173390384;-500;50;105;96;44;2;1;35;13;0;46;1;16;4
176362632;-500;28;107;91;45;2;1;28;10;6;46;4;13;3
179334880;-500;7;112;8;45;1;1;25;9;4;46;0;11;8
182307128;-500;23;123;94;40;8;1;36;10;7;42;2;14;7
185279376;-500;38;101;83;39;2;1;74;22;3;45;1;29;7
188251624;-500;95;64;99;52;8;2;11;39;2;65;8;36;6
191223872;-500;23;24;38;95;6;2;27;36;0;102;2;20;6
194196120;-500;83;-12;70;87;9;1;81;-12;1;88;7;-7;8
197168368;-500;97;-28;86;72;3;1;58;-16;5;74;1;-12;9
200140616;-500;29;-43;93;63;4;1;48;-17;6;65;8;-15;5
203112864;-500;79;-56;0;58;3;1;45;-18;2;61;1;-17;3
206085112;-500;70;-74;1;52;0;1;39;-16;8;54;6;-18;0
209057360;-500;94;-82;57;50;0;1;29;-12;8;51;6;-14;3
212029608;-500;59;-76;73;51;4;1;23;-10;6;52;4;-11;7
215001856;-500;72;-59;74;55;5;1;30;-12;7;56;9;-12;9
217974104;-500;72;-68;5;53;9;1;52;-21;5;58;0;-21;8
220946352;-500;5;-85;4;44;7;1;78;-27;1;52;3;-31;2
223918600;-500;81;-107;43;32;2;2;14;-25;6;41;2;-38;5
226890848;-500;82;-132;74;24;3;2;37;-17;4;29;9;-35;6
229863096;-500;67;-154;16;21;6;2;41;-9;4;23;6;-23;5
232835344;-500;35;-173;77;20;0;2;50;-2;3;20;1;-6;5
235807592;-500;96;164;52;19;3;2;63;5;8;20;2;16;7
238779840;-500;78;139;74;20;7;2;69;15;5;25;9;36;9
241752088;-500;9;114;97;25;7;2;58;25;5;36;2;44;9
244724336;-500;66;93;58;33;9;2;41;33;8;47;8;44;9
247696584;-500;34;75;93;41;8;2;51;42;7;59;8;45;6
250668832;-500;99;48;53;59;8;3;58;73;8;95;0;51;0
253641080;-500;10;-11;54;157;3;3;50;-50;6;165;2;-17;8
256613328;-500;6;-53;18;62;4;1;92;-34;8;71;5;-29;1
259585576;-500;66;-76;4;51;1;1;45;-19;0;54;5;-20;4
262557824;-500;86;-90;68;48;6;1;26;-11;2;49;9;-13;0
265530072;-500;54;-100;59;48;1;1;16;-7;1;48;7;-8;4
268502320;-500;47;-120;19;47;8;1;9;-3;5;47;9;-4;2
271474568;-500;76;-20;70;50;5;1;1;0;2;50;5;0;2
274446816;-500;35;2;96;54;0;1;8;0;2;54;0;0;2
277419064;-500;54;-6;96;58;0;1;16;-1;1;58;0;-1;0
280391312;-500;0;-22;32;61;3;1;25;-5;3;61;6;-4;9
283363560;-500;38;-37;44;62;5;1;36;-11;8;63;6;-10;7
286335808;-500;9;-53;51;59;8;1;49;-19;8;62;9;-18;3
289308056;-500;33;-71;85;51;9;1;64;-25;3;57;7;-26;0
292280304;-500;15;-90;90;42;5;1;77;-25;5;49;6;-31;0
295252552;-500;23;-109;88;34;7;1;89;-22;2;41;2;-32;6
298224800;-500;78;-129;24;29;5;1;96;-16;6;33;9;-29;3
301197048;-500;68;-147;91;26;8;1;98;-10;5;28;8;-21;3
304169296;-500;57;-163;10;25;5;2;0;-5;5;26;1;-12;3
307141544;-500;87;-179;48;23;5;2;13;0;2;23;5;0;4
310113792;-500;30;161;45;22;7;2;25;6;5;23;6;16;0
313086040;-500;89;141;16;23;4;2;35;14;1;27;3;31;1
316058288;-500;71;119;60;26;4;2;40;22;7;34;8;40;7
319030536;-500;88;97;30;33;1;2;35;31;6;45;8;43;7
322002784;-500;16;75;56;44;2;2;28;39;5;59;3;41;8
324975032;-500;47;53;55;61;8;2;21;43;7;75;7;35;3
327947280;-500;98;33;16;82;2;2;10;36;6;90;0;24;0
330919528;-500;27;15;55;96;8;2;5;20;2;98;9;11;8
333891776;-500;27;-1;88;102;4;2;5;-2;6;102;4;-1;5
336864024;-500;19;-19;72;94;2;2;6;-25;1;97;4;-14;9
339836272;-500;27;-37;98;76;5;2;5;-36;8;84;9;-25;7
342808520;-500;52;-55;94;60;2;2;0;-37;5;71;0;-31;9
