geolocation_id,channels,operation,id
5001,33,Local sin ánimo de lucro,1
5001,19,Nacional privado futuro,2
5001,14,Nacional privado,3
5001,15,Nacional privado,4
5001,16,Nacional público,5
5001,18,Regional público,6
5001,28,Local con ánimo de lucro,7
5002,19,Nacional privado futuro,8
5002,14,Nacional privado,9
5002,15,Nacional privado,10
5002,16,Nacional público,11
5002,18,Regional público,12
5004,19,Nacional privado futuro,13
5004,16,Nacional público,14
5004,18,Regional público,15
5004,14,Nacional privado,16
5004,15,Nacional privado,17
5021,19,Nacional privado futuro,18
5021,16,Nacional público,19
5021,18,Regional público,20
5021,21,Nacional privado,21
5021,42,Nacional privado,22
5030,19,Nacional privado futuro,23
5030,14,Nacional privado,24
5030,15,Nacional privado,25
5030,16,Nacional público,26
5030,18,Regional público,27
5031,19,Nacional privado futuro,28
5031,43,Nacional privado,29
5031,44,Nacional privado,30
5031,16,Nacional público,31
5031,18,Regional público,32
5034,19,Nacional privado futuro,33
5034,14,Nacional privado,34
5034,15,Nacional privado,35
5034,16,Nacional público,36
5034,18,Regional público,37
5036,19,Nacional privado futuro,38
5036,14,Nacional privado,39
5036,15,Nacional privado,40
5036,16,Nacional público,41
5036,18,Regional público,42
5038,19,Nacional privado futuro,43
5038,43,Nacional privado,44
5038,44,Nacional privado,45
5038,16,Nacional público,46
5038,18,Regional público,47
5038,21,Local sin ánimo de lucro,48
5040,46,Nacional privado futuro,49
5040,43,Nacional privado,50
5040,44,Nacional privado,51
5040,16,Nacional público,52
5040,18,Regional público,53
5042,19,Nacional privado futuro,54
5042,14,Nacional privado,55
5042,15,Nacional privado,56
5042,16,Nacional público,57
5042,18,Regional público,58
5044,19,Nacional privado futuro,59
5044,14,Nacional privado,60
5044,15,Nacional privado,61
5044,16,Nacional público,62
5044,18,Regional público,63
5045,38,Nacional privado futuro,64
5045,28,Nacional público,65
5045,27,Regional público,66
5045,21,Nacional privado,67
5045,24,Nacional privado,68
5045,32,Local con ánimo de lucro,69
5051,33,Nacional privado,70
5051,32,Nacional privado,71
5051,19,Nacional privado futuro,72
5051,16,Nacional público,73
5051,18,Regional público,74
5055,18,Regional público,75
5055,14,Nacional privado,76
5055,15,Nacional privado,77
5055,35,Nacional público,78
5055,19,Nacional privado futuro,79
5059,19,Nacional privado futuro,80
5059,14,Nacional privado,81
5059,15,Nacional privado,82
5059,16,Nacional público,83
5059,18,Regional público,84
5079,33,Local sin ánimo de lucro,85
5079,19,Nacional privado futuro,86
5079,14,Nacional privado,87
5079,15,Nacional privado,88
5079,16,Nacional público,89
5079,18,Regional público,90
5079,28,Local con ánimo de lucro,91
5086,19,Nacional privado futuro,92
5086,16,Nacional público,93
5086,18,Regional público,94
5086,14,Nacional privado,95
5086,15,Nacional privado,96
5088,33,Local sin ánimo de lucro,97
5088,19,Nacional privado futuro,98
5088,14,Nacional privado,99
5088,15,Nacional privado,100
5088,16,Nacional público,101
5088,18,Regional público,102
5088,28,Local con ánimo de lucro,103
5091,19,Nacional privado futuro,104
5091,16,Nacional público,105
5091,18,Regional público,106
5091,14,Nacional privado,107
5091,15,Nacional privado,108
5093,19,Nacional privado futuro,109
5093,14,Nacional privado,110
5093,15,Nacional privado,111
